,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Brindisi,IT,40.5833,17.6667,50.0,81,20,3.44,few clouds
352,Kangaatsiaq,GL,68.3065,-53.4641,-11.15,89,100,10.58,overcast clouds
353,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,71.01,92,100,1.01,light rain
354,Axim,GH,4.8699,-2.2405,79.03,87,0,5.95,clear sky
355,Lauria,IT,40.0465,15.8358,42.87,88,7,0.2,clear sky
356,Sabalgarh,IN,26.25,77.4,73.08,25,0,0.89,clear sky
357,Mansa,IN,29.9833,75.3833,65.34,31,0,4.27,clear sky
358,Tagusao,PH,9.1924,117.8141,82.85,72,94,3.53,overcast clouds
359,Banjar,ID,-8.19,114.9675,82.4,78,20,2.3,few clouds
360,Hasanabad,IR,36.5465,61.0543,57.2,88,88,2.3,overcast clouds
361,Hami,CN,42.8,93.45,55.4,37,73,9.15,broken clouds
362,Egvekinot,RU,66.3167,-179.1667,-4.88,80,93,6.87,overcast clouds
363,Maragogi,BR,-9.0122,-35.2225,77.32,83,100,6.38,overcast clouds
364,Port Keats,AU,-14.25,129.55,86.77,63,36,9.86,scattered clouds
365,Lorengau,PG,-2.0226,147.2712,83.68,76,100,5.99,light rain
366,Aklavik,CA,68.2191,-135.0107,-2.2,71,93,8.05,overcast clouds
367,Mezen,RU,65.8522,44.24,6.08,98,83,1.79,broken clouds
368,Altay,CN,47.8667,88.1167,28.2,44,37,6.58,scattered clouds
369,Zyryanka,RU,65.75,150.85,1.2,81,24,14.05,few clouds
370,Lander,US,42.833,-108.7307,41.0,60,1,3.44,clear sky
371,Tungor,RU,53.3808,142.9564,20.98,84,56,6.91,broken clouds
372,Zambezi,ZM,-13.5432,23.1047,64.06,95,100,5.41,overcast clouds
373,Linqu,CN,36.5156,118.5397,51.12,87,100,3.11,overcast clouds
374,Hutchinson,US,38.0608,-97.9298,69.8,37,1,16.11,clear sky
375,Dubbo,AU,-32.25,148.6167,73.4,49,0,8.05,clear sky
376,Fort Nelson,CA,58.8053,-122.7002,39.2,52,75,5.75,broken clouds
377,Sambava,MG,-14.2667,50.1667,76.6,89,100,3.38,overcast clouds
378,Samfya,ZM,-11.3649,29.5565,64.22,94,100,3.4,overcast clouds
379,Burnie,AU,-41.0667,145.9167,64.0,53,0,7.0,clear sky
380,Inhambane,MZ,-23.865,35.3833,73.65,87,31,7.7,light rain
381,Beberibe,BR,-4.1797,-38.1306,77.0,88,75,2.3,broken clouds
382,Lyubim,RU,58.3625,40.6843,27.39,93,89,2.95,overcast clouds
383,Lillooet,CA,50.6856,-121.942,51.8,46,1,18.41,clear sky
384,San Cristobal,VE,7.7669,-72.225,71.6,100,75,3.44,broken clouds
385,Araouane,ML,18.9048,-3.5265,71.26,7,0,11.88,clear sky
386,Lagoa,PT,39.05,-27.9833,56.79,62,98,6.96,overcast clouds
387,Galle,LK,6.0367,80.217,77.16,85,100,6.4,overcast clouds
388,Roseburg,US,43.2165,-123.3417,62.01,33,1,10.36,clear sky
389,Coquimbo,CL,-29.9533,-71.3436,57.2,88,0,5.75,clear sky
390,Tecoanapa,MX,16.5167,-98.75,77.88,76,0,4.97,clear sky
391,Beipiao,CN,41.7919,120.7792,52.74,65,75,10.38,broken clouds
392,Massaguet,TD,12.4755,15.4365,80.6,13,71,10.36,dust
393,Ivybridge,GB,50.3904,-3.9191,42.01,82,82,8.99,broken clouds
394,Niquero,CU,20.0431,-77.5828,79.25,71,47,10.67,scattered clouds
395,Marrakesh,MA,31.6315,-8.0083,64.4,32,20,5.75,few clouds
396,Yinchuan,CN,38.4681,106.2731,52.27,17,100,9.04,overcast clouds
397,Naryan-Mar,RU,67.6713,53.087,17.38,89,97,10.38,overcast clouds
398,Hambantota,LK,6.1241,81.1185,73.4,100,75,4.61,moderate rain
399,Kirakira,SB,-10.4544,161.9205,85.75,71,22,9.31,few clouds
400,Dunedin,NZ,-45.8742,170.5036,68.0,54,100,1.01,overcast clouds
401,Joao Pinheiro,BR,-17.7425,-46.1725,68.9,57,3,4.45,clear sky
402,Shizuishan,CN,39.2333,106.7694,51.17,18,11,6.55,few clouds
403,Tiznit,MA,29.5833,-9.5,69.78,13,100,23.58,overcast clouds
404,Alta Floresta,BR,-9.8756,-56.0861,73.9,85,89,1.88,overcast clouds
405,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.44,86,7,8.37,clear sky
406,Grindavik,IS,63.8424,-22.4338,17.6,57,75,10.36,broken clouds
407,Pemangkat,ID,1.1667,108.9667,73.89,93,100,10.89,moderate rain
408,Plettenberg Bay,ZA,-34.0527,23.3716,64.04,86,49,7.27,scattered clouds
409,Camacupa,AO,-12.0167,17.4833,61.61,97,100,3.85,moderate rain
410,Teluk Nibung,ID,3.001,99.8164,79.27,82,98,3.2,overcast clouds
411,Urengoy,RU,65.9667,78.3667,-0.2,97,14,9.28,few clouds
412,Xacmaz,AZ,41.4635,48.806,42.58,95,100,5.08,overcast clouds
413,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,88,0,1.14,clear sky
414,Sa Kaeo,TH,13.75,102.3333,83.98,65,100,10.13,overcast clouds
415,Atbasar,KZ,51.8,68.3333,26.74,97,100,4.34,overcast clouds
416,Salekhard,RU,66.53,66.6019,-8.81,98,66,3.2,broken clouds
417,Nishihara,JP,26.1842,127.7558,75.2,69,20,18.41,few clouds
418,Clovis,US,36.8252,-119.7029,70.0,26,20,4.16,few clouds
419,Camocim,BR,-2.9022,-40.8411,74.53,89,60,7.52,broken clouds
420,Opole,PL,50.5,18.0,46.0,62,95,4.0,overcast clouds
421,Fenoarivo,MG,-18.933,47.4354,64.4,100,75,5.75,broken clouds
